FM_Ideal_all_Recall@K,FM_Ideal_all_DCG@K,FM_Ideal_all_MAP@K,FM_Ideal_popular_Recall@K,FM_Ideal_popular_DCG@K,FM_Ideal_popular_MAP@K,FM_Ideal_rare_Recall@K,FM_Ideal_rare_DCG@K,FM_Ideal_rare_MAP@K,FM_IPS_all_Recall@K,FM_IPS_all_DCG@K,FM_IPS_all_MAP@K,FM_IPS_popular_Recall@K,FM_IPS_popular_DCG@K,FM_IPS_popular_MAP@K,FM_IPS_rare_Recall@K,FM_IPS_rare_DCG@K,FM_IPS_rare_MAP@K,FM_Naive_all_Recall@K,FM_Naive_all_DCG@K,FM_Naive_all_MAP@K,FM_Naive_popular_Recall@K,FM_Naive_popular_DCG@K,FM_Naive_popular_MAP@K,FM_Naive_rare_Recall@K,FM_Naive_rare_DCG@K,FM_Naive_rare_MAP@K,MF_Ideal_all_Recall@K,MF_Ideal_all_DCG@K,MF_Ideal_all_MAP@K,MF_Ideal_popular_Recall@K,MF_Ideal_popular_DCG@K,MF_Ideal_popular_MAP@K,MF_Ideal_rare_Recall@K,MF_Ideal_rare_DCG@K,MF_Ideal_rare_MAP@K,MF_IPS_all_Recall@K,MF_IPS_all_DCG@K,MF_IPS_all_MAP@K,MF_IPS_popular_Recall@K,MF_IPS_popular_DCG@K,MF_IPS_popular_MAP@K,MF_IPS_rare_Recall@K,MF_IPS_rare_DCG@K,MF_IPS_rare_MAP@K,MF_Naive_all_Recall@K,MF_Naive_all_DCG@K,MF_Naive_all_MAP@K,MF_Naive_popular_Recall@K,MF_Naive_popular_DCG@K,MF_Naive_popular_MAP@K,MF_Naive_rare_Recall@K,MF_Naive_rare_DCG@K,MF_Naive_rare_MAP@K,Random_all_Recall@K,Random_all_DCG@K,Random_all_MAP@K,Random_popular_Recall@K,Random_popular_DCG@K,Random_popular_MAP@K,Random_rare_Recall@K,Random_rare_DCG@K,Random_rare_MAP@K
0.07307299096497412,0.48757984386089426,0.48688873139617295,0.2283401360544218,0.5227272727272727,0.46,0.11115302132311346,0.4946543121881682,0.49184975194897235,0.07833921826657475,0.5060326472675657,0.5053153791637137,0.23010884353741495,0.5300324675324676,0.4664285714285714,0.11907745376916179,0.5203136136849608,0.517363571934798,0.0654423380915856,0.42441447835344215,0.4238128986534373,0.20010714285714284,0.4837662337662338,0.4257142857142857,0.09981811439997122,0.43763364219529577,0.43515237420269315,0.06044131993500401,0.4024130589070263,0.40184266477675407,0.1958401360544218,0.4577922077922078,0.40285714285714286,0.09738545767957532,0.41767640769779046,0.4153082919914954,0.062300757646674185,0.41731724627395317,0.4167257264351524,0.19860204081632649,0.45616883116883117,0.4014285714285714,0.09849908733679111,0.4354953670705631,0.43302622253720763,0.06478957129778408,0.43080198722498225,0.4301913536498937,0.19113095238095237,0.44805194805194803,0.3942857142857143,0.09729115675253167,0.4397719173200285,0.4372785258681786,0.06471918338189651,0.43222143364088006,0.4316087880935507,0.1918469387755102,0.45292207792207795,0.3985714285714286,0.09434473118030876,0.43478260869565216,0.43231750531537916
0.14837769776903473,0.9779985805535841,0.856839121190645,0.423954081632653,1.0129870129870129,0.7803571428571429,0.22183284075559054,0.9857448325017819,0.8586109142452162,0.15824663396108346,1.0205819730305181,0.8897944720056697,0.4315714285714286,1.0235389610389611,0.7921428571428571,0.22689814909871608,0.9964362081254454,0.8788093550673282,0.13075028030107866,0.8552164655784245,0.7328136073706591,0.39113605442176874,0.9448051948051948,0.7182142857142857,0.19762759093021318,0.8631503920171062,0.735648476257973,0.12574226662013796,0.8211497515968772,0.6998582565556343,0.383858843537415,0.9082792207792207,0.6796428571428571,0.19276035209770145,0.8524590163934426,0.7204110559886605,0.1275517414983584,0.8431511710432931,0.721119773210489,0.3855731292517006,0.9082792207792207,0.6846428571428571,0.19328132887665134,0.864575908766928,0.7420269312544295,0.12767246788591682,0.8360539389638041,0.7161587526576896,0.37470238095238095,0.8887987012987013,0.6721428571428572,0.1913554690840304,0.8660014255167499,0.742735648476258,0.12910951615145555,0.8658623136976579,0.7469879518072289,0.37995578231292515,0.8952922077922078,0.6742857142857143,0.19247850936369718,0.864575908766928,0.7388377037562013
0.2184491954893631,1.2690591482054276,1.1646586345381527,0.5814404761904762,1.277240059125708,1.0179761904761904,0.3230155249113435,1.2749022320359569,1.161705646113867,0.22923188669374106,1.3156726100806178,1.2110796125679186,0.5919778911564626,1.2898404804035373,1.0304761904761903,0.3338470097506242,1.2950373174422296,1.1930073234112921,0.19748521409525288,1.131052326614633,1.0082683675879989,0.5596785714285714,1.2198127253797668,0.9579761904761903,0.29771597408025474,1.150508989687927,1.0188991259154263,0.1884250306374791,1.0768352656418043,0.9455468934561776,0.5392329931972789,1.1612656641755683,0.8941666666666667,0.2885258158645827,1.1195810931015295,0.9800377982518308,0.1901311174870811,1.1055534674186474,0.981218993621545,0.5354472789115646,1.151535416352632,0.8927380952380952,0.28743535580884977,1.129899183611661,1.000944956295771,0.19294175475909328,1.1015907337600246,0.9781478856602881,0.5407465986394558,1.1556123389697477,0.8919047619047618,0.2843855785918153,1.1245791933739047,0.9945665012993147,0.19652021622203386,1.1385636763130007,1.0160642570281124,0.5399455782312925,1.1569846623985511,0.8973809523809523,0.289555619197717,1.141141695257624,1.0081502480510274
0.2914257172490799,1.5032678068285645,1.4525750059059765,0.714671768707483,1.4635225266581755,1.2106547619047618,0.4285202690057403,1.5140326668185655,1.451925348452634,0.2987400807735781,1.5367513893567004,1.4904913772738009,0.7060935374149659,1.455424895987953,1.2045833333333331,0.43538264633232737,1.5249018933509964,1.4816324120009448,0.264928993640379,1.3553248603264854,1.2676588707772265,0.6853979591836734,1.3967607773278188,1.1381547619047618,0.39330290349071356,1.3675439148482975,1.2704937396645404,0.25417954445187946,1.2893973664224998,1.179069218048665,0.6621071428571429,1.3357786511885552,1.0657738095238094,0.38360119288538846,1.3344777431371675,1.2210016536735173,0.256294917660449,1.316696121783445,1.2205882352941178,0.6612755102040817,1.3301068449240605,1.0650595238095237,0.3836673740465377,1.3430139377100216,1.2442121426884005,0.2556023954552324,1.310249356897001,1.2166312308055751,0.667173469387755,1.332966235073644,1.0638690476190478,0.37425754417249807,1.3348429139726217,1.2374793290810298,0.25684681477506754,1.3379958977466415,1.245511457595086,0.6675578231292517,1.3319034935673824,1.0634523809523808,0.3872838182370429,1.356038345293262,1.2583274273564848
0.36936993451511735,1.7172306106975324,1.740739428301441,0.7896666666666666,1.5697933656632985,1.335797619047619,0.5248057655392878,1.7040460591545814,1.7084809827545475,0.3727602749802274,1.744600970257983,1.7738365225608315,0.7845646258503401,1.5658906365327518,1.3307261904761905,0.5255622242156615,1.7093898558614096,1.7318095913064022,0.3304589321384877,1.5381102270602605,1.5004016064257029,0.772547619047619,1.5117709945406002,1.2658690476190477,0.487220903751733,1.556329433889735,1.5138672336404442,0.3206765573610114,1.4721827331562753,1.4054334987006851,0.7606581632653061,1.4623248476354451,1.2010595238095236,0.4736322599362996,1.5115984658801098,1.4459484998818803,0.32109434798651876,1.5010097942591414,1.4553153791637135,0.7581224489795919,1.4566530413709502,1.2004880952380952,0.4748692306984298,1.5250461536312774,1.4765296480037797,0.31766253686512574,1.488755467553397,1.4395936687928184,0.7557619047619047,1.4497243279279568,1.1920119047619047,0.46810079636089563,1.5159542249229436,1.4648358138436097,0.32190907090436,1.5189472975901108,1.473293172690763,0.7546819727891158,1.4521573377047583,1.195595238095238,0.47808290024803135,1.5337730046834932,1.4807228915662651
0.4364647415252952,1.8880059450480533,1.9928065201984408,0.8331309523809525,1.6269420758229467,1.403892857142857,0.6150322490329577,1.8645224196752537,1.943066383179778,0.43906036524955105,1.919769239254177,2.037951807228916,0.8274812925170068,1.6246093662022802,1.4019166666666665,0.6170945343340808,1.8789653914631506,1.978561304039688,0.3968702641327396,1.7086110029954276,1.7372312780533903,0.8222857142857143,1.5761417944456981,1.3418214285714285,0.580831053740338,1.723147643709334,1.7412473423104182,0.3856421249988598,1.637466899199706,1.6266713914481454,0.8140170068027212,1.5326617216780891,1.282488095238095,0.5686434460885206,1.6775894779650664,1.6664776754075121,0.38524755962065754,1.664097492979736,1.674190881171746,0.8119217687074831,1.5291879427274266,1.2839404761904762,0.5674936096268485,1.6907614331380199,1.698830616583983,0.3812804804618078,1.6512940494432822,1.6588235294117646,0.8098027210884353,1.5210032136765288,1.2733214285714287,0.5576428099815768,1.6800151089604007,1.6894991731632412,0.38769352760837733,1.681485879479996,1.692050555161824,0.8119574829931973,1.5262622585711152,1.279642857142857,0.5755545855829343,1.7050029357545198,1.711292227734467
0.5069260635072325,2.0551123685245636,2.254019439100942,0.8580306122448979,1.661926710271056,1.448688775510204,0.6964772195282471,2.0069545165872995,2.161857514089973,0.5070079661170669,2.0795442160123527,2.286914042725524,0.8553809523809524,1.6624852927535394,1.4499778911564625,0.6973439742397928,2.0198741504403084,2.1968462083628633,0.464183657187159,1.8676275542310172,1.9698930174479428,0.8507193877551019,1.613439462576327,1.3872295918367348,0.6679396849311803,1.8706575337376743,1.9562923964766628,0.44702814359294946,1.782073365506156,1.829870743478114,0.8425969387755101,1.5745854571737572,1.3353452380952382,0.6553699352069302,1.826876595584109,1.8810165029867367,0.44706751677194,1.8097151933163014,1.886907293037697,0.8458571428571429,1.5737138411159295,1.335981292517007,0.6478845215733947,1.8321779714268067,1.9059785359927102,0.44466681486734005,1.799692643362664,1.8694137896122305,0.8443639455782312,1.565818241275347,1.3255663265306121,0.647258157623147,1.8298100058910733,1.9005956599507274,0.4544489533525261,1.8412608562381725,1.9208649724950222,0.8454370748299319,1.5693425109080432,1.3297448979591837,0.6602858280391944,1.847181143010751,1.91459282508184
0.572294633633067,2.2003690517514385,2.490819580844386,0.8701853741496598,1.6800544158987614,1.4732423469387754,0.7701198576995884,2.131924818321678,2.361450001687422,0.5732160571834144,2.225510622447177,2.522119570719854,0.8684455782312924,1.6811541239223704,1.4743528911564625,0.7668056488751032,2.1384296268004888,2.38483345145287,0.5334421560846291,2.0140671094711404,2.1914557389220746,0.867047619047619,1.6361667353035998,1.4159795918367346,0.7454771230816588,2.00109231634637,2.155530525463197,0.5101195685611203,1.92165226306944,2.0369047619047618,0.8642295918367346,1.6027239853122854,1.3698988095238096,0.7293038326348036,1.9494710360687848,2.0650172117039585,0.5091899622984168,1.9492940908795848,2.0962446424352876,0.8655391156462584,1.5996878670899555,1.3680348639455782,0.7222085458442652,1.9578610315360965,2.09626911005366,0.5056190490003598,1.9376155201074003,2.0779538321352637,0.8661632653061224,1.5947684577255632,1.360923469387755,0.723994333880939,1.9545427215004814,2.0884943133880056,0.5167172386541211,1.9806031793988068,2.1324170632108266,0.8655578231292517,1.5980221645876969,1.3667091836734693,0.7340953754490253,1.9697755834954267,2.0979734062299618
0.6336914926348787,2.331570199939115,2.712096846770837,0.876124149659864,1.6895286045684628,1.4865756802721086,0.8285891465019743,2.231983171970751,2.528156041533079,0.6324520720683225,2.353577272213988,2.7398532505371627,0.8766904761904762,1.6929328449711885,1.4901465419501134,0.8275389564369011,2.2389376809154005,2.5528781793842032,0.6000353779015137,2.154895645665763,2.4168278154635345,0.8746071428571427,1.646665160586242,1.4302653061224488,0.8128849672258602,2.112393181641406,2.334757236227824,0.5776669999608466,2.0609135500536295,2.2512523483288898,0.8719115646258505,1.6124542331352218,1.3821210317460315,0.796833953903408,2.057623998102951,2.23290444691933,0.5730599751642399,2.08071913181161,2.2999614705319877,0.8747517006802722,1.612490824751714,1.384701530612245,0.794281718360386,2.0716352493932444,2.2738421473006873,0.569010895060943,2.0688166682950775,2.2801744794303263,0.8748707482993198,1.6080835336937918,1.3790187074829932,0.7922539839088385,2.0644944853980016,2.260555105576367,0.5792277273131486,2.112476005819526,2.3398349701326313,0.8752040816326531,1.6103130039429852,1.3817885487528345,0.8010684095021445,2.079052796694189,2.2694829739124565
0.6932852419579605,2.4574088567496797,2.935909745424274,0.8774897959183675,1.691972029857943,1.4901471088435372,0.8801944275898917,2.319309763727872,2.6804593725040218,0.6841335195031989,2.4621104431134215,2.931136028708672,0.8780918367346938,1.6951319277317207,1.4932893990929708,0.8731238227871823,2.317252683351147,2.6890227576974564,0.6637458563355925,2.2845799660121338,2.6338370287874184,0.8774251700680271,1.6515520111652022,1.4370510204081632,0.865139787765585,2.1990760884469998,2.4788394474255564,0.6376033903423739,2.1848293750962906,2.4504727593848785,0.8762942176870748,1.6185627963589226,1.3896924603174603,0.8517281147862296,2.1501000694722854,2.3841447020575295,0.6346685040477511,2.2063441406479627,2.502158493919656,0.8779795918367347,1.6176220178596228,1.3917015306122449,0.8510235807188323,2.1641113207625793,2.424586300383607,0.6305629634490059,2.1925188453635265,2.4776939691539264,0.8777108843537416,1.6124816992148565,1.384875850340136,0.8475141206537381,2.1531084470581763,2.4049916753850136,0.641633002853143,2.235964534913764,2.5355826668016603,0.8781411564625852,1.6151998545219457,1.3887885487528346,0.8533270906587703,2.167237635053346,2.415053491276028
